app_name,response_time,error_rate,cpu_usage,memory_usage,disk_space,active_users,incident_duration,downtime
NIP,22,61,32,42,52,12000,1,1
NIP,21,63,31,41,51,11000,0,0
NIP,20,98,30,40,50,10000,0,0
NIP,19,15,29,39,49,9000,0,0
NIP,18,67,28,38,48,8000,0,0
NIP,17,28,27,37,47,7000,0,0
NIP,16,13,26,36,46,6000,0,0
NIP,15,14,25,35,45,5000,0,0
NIP,14,8,24,34,44,4000,0,0
NIP,13,18,23,33,43,3000,0,0
NIP,12,40,22,32,42,2000,0,0
NIP,11,99,21,31,41,1000,0,0
NIP,10,92,20,30,40,0,0,0
NIP,11,64,21,31,41,1000,0,0
NIP,12,90,22,32,42,2000,0,0
NIP,13,94,23,33,43,3000,0,0
NIP,14,68,24,34,44,4000,0,0
NIP,15,47,25,35,45,5000,0,0
NIP,16,12,26,36,46,6000,0,0
NIP,17,4,27,37,47,7000,0,0
NIP,18,8,28,38,48,8000,0,0
NIP,19,7,29,39,49,9000,0,0
NIP,20,99,30,40,50,10000,0,0
NIP,21,92,31,41,51,11000,0,0
NIP,22,41,32,42,52,12000,0,0
NIP,21,91,31,41,51,11000,0,0
NIP,20,98,30,40,50,10000,0,0
NIP,19,70,29,39,49,9000,0,0
NIP,18,15,28,38,48,8000,0,0
NIP,17,18,27,37,47,7000,0,0
NIP,16,38,26,36,46,6000,0,0
NIP,15,61,25,35,45,5000,0,0
NIP,14,56,24,34,44,4000,0,0
NIP,13,96,23,33,43,3000,0,0
NIP,12,73,22,32,42,2000,0,0
NIP,11,93,21,31,41,1000,0,0
NIP,10,6,20,30,40,0,0,0
NIP,11,23,21,31,41,1000,0,0
NIP,12,28,22,32,42,2000,0,0
NIP,13,2,23,33,43,3000,0,0
NIP,14,45,24,34,44,4000,0,0
NIP,15,21,25,35,45,5000,0,0
NIP,16,81,26,36,46,6000,0,0
NIP,17,91,27,37,47,7000,0,0
NIP,18,21,28,38,48,8000,0,0
NIP,19,33,29,39,49,9000,0,0
NIP,20,39,30,40,50,10000,0,0
NIP,21,76,31,41,51,11000,0,0
NIP,22,100,32,42,52,12000,0,0
NIP,21,99,31,41,51,11000,0,0
NIP,20,99,30,40,50,10000,0,0
NIP,19,92,29,39,49,9000,0,0
NIP,18,67,28,38,48,8000,0,0
NIP,17,16,27,37,47,7000,0,0
NIP,16,55,26,36,46,6000,0,0
NIP,15,79,25,35,45,5000,0,0
NIP,14,23,24,34,44,4000,0,0
NIP,13,72,23,33,43,3000,0,0
NIP,12,54,22,32,42,2000,0,0
NIP,11,38,21,31,41,1000,0,0
NIP,10,31,20,30,40,0,0,0
NIP,11,3,21,31,41,1000,0,0
NIP,12,2,22,32,42,2000,0,0
NIP,13,61,23,33,43,3000,0,0
NIP,14,72,24,34,44,4000,0,0
NIP,15,94,25,35,45,5000,0,0
NIP,16,72,26,36,46,6000,0,0
NIP,17,30,27,37,47,7000,0,0
NIP,18,96,28,38,48,8000,0,0
NIP,19,68,29,39,49,9000,0,0
NIP,20,52,30,40,50,10000,0,0
NIP,21,66,31,41,51,11000,0,0
NIP,22,28,32,42,52,12000,0,0
NIP,21,22,31,41,51,11000,0,0
NIP,20,35,30,40,50,10000,0,0
NIP,19,40,29,39,49,9000,0,0
NIP,18,17,28,38,48,8000,0,0
NIP,17,63,27,37,47,7000,0,0
NIP,16,67,26,36,46,6000,0,0
NIP,15,63,25,35,45,5000,0,0
NIP,14,93,24,34,44,4000,0,0
NIP,13,13,23,33,43,3000,0,0
NIP,12,40,22,32,42,2000,0,0
NIP,11,98,21,31,41,1000,0,0
NIP,10,65,20,30,40,0,0,0
NIP,11,62,21,31,41,1000,0,0
NIP,12,50,22,32,42,2000,0,0
NIP,13,13,23,33,43,3000,0,0
NIP,14,100,24,34,44,4000,0,0
NIP,15,71,25,35,45,5000,0,0
NIP,16,45,26,36,46,6000,0,0
NIP,17,82,27,37,47,7000,0,0
NIP,18,67,28,38,48,8000,0,0
NIP,19,30,29,39,49,9000,0,0
NIP,20,69,30,40,50,10000,0,0
NIP,21,18,31,41,51,11000,0,0
NIP,22,77,32,42,52,12000,0,0
NIP,21,71,31,41,51,11000,0,0
NIP,20,30,30,40,50,10000,0,0
NIP,19,20,29,39,49,9000,0,0
NIP,18,89,28,38,48,8000,1,1
NIP,17,31,27,37,47,7000,0,0
NIP,16,7,26,36,46,6000,0,0
NIP,15,74,25,35,45,5000,0,0
NIP,14,18,24,34,44,4000,0,0
NIP,13,20,23,33,43,3000,0,0
NIP,12,44,22,32,42,2000,0,0
NIP,11,40,21,31,41,1000,0,0
NIP,10,61,20,30,40,0,0,0
NIP,11,59,21,31,41,1000,0,0
NIP,12,75,22,32,42,2000,0,0
NIP,13,64,23,33,43,3000,0,0
NIP,14,90,24,34,44,4000,0,0
NIP,15,64,25,35,45,5000,0,0
NIP,16,96,26,36,46,6000,0,0
NIP,17,42,27,37,47,7000,0,0
NIP,18,69,28,38,48,8000,0,0
NIP,19,70,29,39,49,9000,0,0
NIP,20,54,30,40,50,10000,0,0
NIP,21,91,31,41,51,11000,0,0
NIP,22,82,32,42,52,12000,0,0
NIP,21,28,31,41,51,11000,0,0
NIP,20,63,30,40,50,10000,0,0
NIP,19,77,29,39,49,9000,0,0
NIP,18,6,28,38,48,8000,0,0
NIP,17,83,27,37,47,7000,0,0
NIP,16,49,26,36,46,6000,0,0
NIP,15,72,25,35,45,5000,0,0
NIP,14,98,24,34,44,4000,0,0
NIP,13,62,23,33,43,3000,0,0
NIP,12,20,22,32,42,2000,0,0
NIP,11,49,21,31,41,1000,0,0
NIP,10,46,20,30,40,0,0,0
NIP,11,53,21,31,41,1000,0,0
NIP,12,51,22,32,42,2000,0,0
NIP,13,81,23,33,43,3000,0,0
NIP,14,18,24,34,44,4000,0,0
NIP,15,2,25,35,45,5000,0,0
NIP,16,59,26,36,46,6000,0,0
NIP,17,81,27,37,47,7000,0,0
NIP,18,80,28,38,48,8000,0,0
NIP,19,30,29,39,49,9000,0,0
NIP,20,49,30,40,50,10000,0,0
NIP,21,94,31,41,51,11000,0,0
NIP,22,22,32,42,52,12000,0,0
NIP,21,84,31,41,51,11000,0,0
NIP,20,72,30,40,50,10000,0,0
NIP,19,75,29,39,49,9000,0,0
NIP,18,19,28,38,48,8000,0,0
NIP,17,90,27,37,47,7000,0,0
NIP,16,58,26,36,46,6000,0,0
NIP,15,58,25,35,45,5000,0,0
NIP,14,39,24,34,44,4000,0,0
NIP,13,76,23,33,43,3000,0,0
NIP,12,42,22,32,42,2000,0,0
NIP,11,80,21,31,41,1000,0,0
NIP,10,75,20,30,40,0,0,0
NIP,11,65,21,31,41,1000,0,0
NIP,12,48,22,32,42,2000,0,0
NIP,13,75,23,33,43,3000,0,0
NIP,14,81,24,34,44,4000,0,0
NIP,15,29,25,35,45,5000,0,0
NIP,16,38,26,36,46,6000,0,0
NIP,17,14,27,37,47,7000,0,0
NIP,18,54,28,38,48,8000,0,0
NIP,19,93,29,39,49,9000,0,0
NIP,20,1,30,40,50,10000,0,0
NIP,21,1,31,41,51,11000,0,0
NIP,22,26,32,42,52,12000,0,0
NIP,21,45,31,41,51,11000,0,0
NIP,20,22,30,40,50,10000,0,0
NIP,19,25,29,39,49,9000,0,0
NIP,18,95,28,38,48,8000,0,0
NIP,17,84,27,37,47,7000,0,0
NIP,16,93,26,36,46,6000,0,0
NIP,15,43,25,35,45,5000,0,0
NIP,14,32,24,34,44,4000,0,0
NIP,13,17,23,33,43,3000,0,0
NIP,12,1,22,32,42,2000,0,0
NIP,11,14,21,31,41,1000,0,0
NIP,10,43,20,30,40,0,0,0
NIP,11,78,21,31,41,1000,0,0
NIP,12,54,22,32,42,2000,0,0
NIP,13,36,23,33,43,3000,0,0
NIP,14,83,24,34,44,4000,0,0
NIP,15,61,25,35,45,5000,0,0
NIP,16,81,26,36,46,6000,0,0
NIP,17,8,27,37,47,7000,0,0
NIP,18,47,28,38,48,8000,0,0
NIP,19,3,29,39,49,9000,0,0
NIP,20,10,30,40,50,10000,0,0
NIP,21,83,31,41,51,11000,0,0
NIP,22,6,32,42,52,12000,0,0
NIP,21,45,31,41,51,11000,0,0
NIP,20,85,30,40,50,10000,0,0
NIP,19,76,29,39,49,9000,0,0
NIP,18,30,28,38,48,8000,0,0
NIP,17,36,27,37,47,7000,0,0
NIP,16,21,26,36,46,6000,0,0
NIP,15,28,25,35,45,5000,0,0
NIP,14,61,24,34,44,4000,1,1
NIP,13,33,23,33,43,3000,0,0
NIP,12,10,22,32,42,2000,0,0
NIP,11,50,21,31,41,1000,0,0
NIP,10,39,20,30,40,0,0,0
NIP,11,18,21,31,41,1000,0,0
NIP,12,97,22,32,42,2000,0,0
NIP,13,7,23,33,43,3000,0,0
NIP,14,40,24,34,44,4000,0,0
NIP,15,81,25,35,45,5000,0,0
NIP,16,11,26,36,46,6000,0,0
NIP,17,78,27,37,47,7000,0,0
NIP,18,21,28,38,48,8000,0,0
NIP,19,57,29,39,49,9000,0,0
NIP,20,55,30,40,50,10000,0,0
NIP,21,41,31,41,51,11000,0,0
NIP,22,7,32,42,52,12000,0,0
NIP,21,77,31,41,51,11000,0,0
NIP,20,73,30,40,50,10000,0,0
NIP,19,74,29,39,49,9000,0,0
NIP,18,20,28,38,48,8000,0,0
NIP,17,78,27,37,47,7000,0,0
NIP,16,98,26,36,46,6000,0,0
NIP,15,53,25,35,45,5000,0,0
NIP,14,82,24,34,44,4000,0,0
NIP,13,23,23,33,43,3000,0,0
NIP,12,61,22,32,42,2000,0,0
NIP,11,91,21,31,41,1000,0,0
NIP,10,70,20,30,40,0,0,0
NIP,11,92,21,31,41,1000,0,0
NIP,12,98,22,32,42,2000,0,0
NIP,13,81,23,33,43,3000,0,0
NIP,14,48,24,34,44,4000,0,0
NIP,15,49,25,35,45,5000,0,0
NIP,16,91,26,36,46,6000,0,0
NIP,17,88,27,37,47,7000,0,0
NIP,18,45,28,38,48,8000,0,0
NIP,19,17,29,39,49,9000,0,0
NIP,20,36,30,40,50,10000,0,0
NIP,21,16,31,41,51,11000,0,0
NIP,22,12,32,42,52,12000,0,0
NIP,21,87,31,41,51,11000,0,0
NIP,20,32,30,40,50,10000,0,0
NIP,19,54,29,39,49,9000,0,0
NIP,18,91,28,38,48,8000,0,0
NIP,17,67,27,37,47,7000,0,0
NIP,16,64,26,36,46,6000,0,0
NIP,15,79,25,35,45,5000,0,0
NIP,14,1,24,34,44,4000,0,0
NIP,13,82,23,33,43,3000,0,0
NIP,12,97,22,32,42,2000,0,0
NIP,11,35,21,31,41,1000,0,0
NIP,10,71,20,30,40,0,0,0
NIP,11,80,21,31,41,1000,0,0
NIP,12,51,22,32,42,2000,0,0
NIP,13,19,23,33,43,3000,0,0
NIP,14,87,24,34,44,4000,0,0
NIP,15,7,25,35,45,5000,0,0
NIP,16,50,26,36,46,6000,0,0
NIP,17,54,27,37,47,7000,0,0
NIP,18,22,28,38,48,8000,0,0
NIP,19,38,29,39,49,9000,0,0
NIP,20,74,30,40,50,10000,0,0
NIP,21,61,31,41,51,11000,0,0
NIP,22,15,32,42,52,12000,0,0
NIP,21,27,31,41,51,11000,0,0
NIP,20,85,30,40,50,10000,0,0
NIP,19,75,29,39,49,9000,0,0
NIP,18,42,28,38,48,8000,0,0
NIP,17,92,27,37,47,7000,0,0
NIP,16,3,26,36,46,6000,0,0
NIP,15,89,25,35,45,5000,0,0
NIP,14,90,24,34,44,4000,0,0
NIP,13,100,23,33,43,3000,0,0
NIP,12,35,22,32,42,2000,0,0
NIP,11,5,21,31,41,1000,0,0
NIP,10,65,20,30,40,0,0,0
NIP,11,79,21,31,41,1000,0,0
NIP,12,4,22,32,42,2000,0,0
NIP,13,52,23,33,43,3000,0,0
NIP,14,2,24,34,44,4000,0,0
NIP,15,49,25,35,45,5000,0,0
NIP,16,15,26,36,46,6000,0,0
NIP,17,71,27,37,47,7000,0,0
NIP,18,87,28,38,48,8000,0,0
NIP,19,70,29,39,49,9000,0,0
NIP,20,46,30,40,50,10000,0,0
NIP,21,49,31,41,51,11000,0,0
NIP,22,86,32,42,52,12000,0,0
NIP,21,58,31,41,51,11000,0,0
NIP,20,24,30,40,50,10000,0,0
NIP,19,35,29,39,49,9000,0,0
NIP,18,36,28,38,48,8000,0,0
NIP,17,53,27,37,47,7000,0,0
NIP,16,29,26,36,46,6000,0,0
NIP,15,43,25,35,45,5000,0,0
NIP,14,51,24,34,44,4000,0,0
NIP,13,12,23,33,43,3000,0,0
NIP,12,57,22,32,42,2000,0,0
NIP,11,8,21,31,41,1000,0,0
NIP,10,90,20,30,40,0,1,1
NIP,11,9,21,31,41,1000,0,0
NIP,12,32,22,32,42,2000,0,0
NIP,13,57,23,33,43,3000,0,0
NIP,14,3,24,34,44,4000,0,0
NIP,15,87,25,35,45,5000,0,0
NIP,16,37,26,36,46,6000,0,0
NIP,17,91,27,37,47,7000,0,0
NIP,18,33,28,38,48,8000,0,0
NIP,19,87,29,39,49,9000,0,0
NIP,20,21,30,40,50,10000,0,0
NIP,21,89,31,41,51,11000,0,0
NIP,22,84,32,42,52,12000,0,0
NIP,21,23,31,41,51,11000,0,0
NIP,20,93,30,40,50,10000,0,0
NIP,19,54,29,39,49,9000,0,0
NIP,18,7,28,38,48,8000,0,0
NIP,17,31,27,37,47,7000,0,0
NIP,16,2,26,36,46,6000,0,0
NIP,15,35,25,35,45,5000,0,0
NIP,14,63,24,34,44,4000,0,0
NIP,13,37,23,33,43,3000,0,0
NIP,12,36,22,32,42,2000,0,0
NIP,11,20,21,31,41,1000,0,0
NIP,10,82,20,30,40,0,0,0
NIP,11,40,21,31,41,1000,0,0
NIP,12,63,22,32,42,2000,0,0
NIP,13,41,23,33,43,3000,0,0
NIP,14,91,24,34,44,4000,0,0
NIP,15,77,25,35,45,5000,0,0
NIP,16,24,26,36,46,6000,0,0
NIP,17,21,27,37,47,7000,0,0
NIP,18,91,28,38,48,8000,0,0
NIP,19,37,29,39,49,9000,0,0
NIP,20,33,30,40,50,10000,0,0
NIP,21,27,31,41,51,11000,0,0
NIP,22,6,32,42,52,12000,0,0
NIP,21,31,31,41,51,11000,0,0
NIP,20,64,30,40,50,10000,0,0
NIP,19,8,29,39,49,9000,0,0
NIP,18,77,28,38,48,8000,0,0
NIP,17,30,27,37,47,7000,0,0
NIP,16,50,26,36,46,6000,0,0
NIP,15,71,25,35,45,5000,0,0
NIP,14,54,24,34,44,4000,0,0
NIP,13,97,23,33,43,3000,0,0
NIP,12,55,22,32,42,2000,0,0
NIP,11,47,21,31,41,1000,0,0
NIP,10,81,20,30,40,0,0,0
NIP,11,90,21,31,41,1000,0,0
NIP,12,51,22,32,42,2000,0,0
NIP,13,49,23,33,43,3000,0,0
NIP,14,97,24,34,44,4000,0,0
NIP,15,80,25,35,45,5000,0,0
NIP,16,23,26,36,46,6000,0,0
NIP,17,47,27,37,47,7000,0,0
NIP,18,59,28,38,48,8000,0,0
NIP,19,59,29,39,49,9000,0,0
NIP,20,93,30,40,50,10000,0,0
NIP,21,69,31,41,51,11000,0,0
NIP,22,71,32,42,52,12000,0,0
NIP,21,24,31,41,51,11000,0,0
NIP,20,90,30,40,50,10000,0,0
NIP,19,86,29,39,49,9000,0,0
NIP,18,85,28,38,48,8000,0,0
NIP,17,95,27,37,47,7000,0,0
NIP,16,83,26,36,46,6000,0,0
NIP,15,26,25,35,45,5000,0,0
NIP,14,3,24,34,44,4000,0,0
NIP,13,62,23,33,43,3000,0,0
NIP,12,54,22,32,42,2000,0,0
NIP,11,22,21,31,41,1000,0,0
NIP,10,98,20,30,40,0,0,0
NIP,11,69,21,31,41,1000,0,0
NIP,12,92,22,32,42,2000,0,0
NIP,13,77,23,33,43,3000,0,0
NIP,14,21,24,34,44,4000,0,0
NIP,15,27,25,35,45,5000,0,0
NIP,16,87,26,36,46,6000,0,0
NIP,17,47,27,37,47,7000,0,0
NIP,18,89,28,38,48,8000,0,0
NIP,19,36,29,39,49,9000,0,0
NIP,20,24,30,40,50,10000,0,0
NIP,21,67,31,41,51,11000,0,0
NIP,22,13,32,42,52,12000,0,0
NIP,21,65,31,41,51,11000,0,0
NIP,20,39,30,40,50,10000,0,0
NIP,19,94,29,39,49,9000,0,0
NIP,18,38,28,38,48,8000,0,0
NIP,17,50,27,37,47,7000,0,0
NIP,16,71,26,36,46,6000,0,0
NIP,15,71,25,35,45,5000,0,0
NIP,14,89,24,34,44,4000,0,0
NIP,13,37,23,33,43,3000,0,0
NIP,12,25,22,32,42,2000,0,0
NIP,11,50,21,31,41,1000,0,0
NIP,10,41,20,30,40,0,0,0
NIP,11,29,21,31,41,1000,0,0
NIP,12,41,22,32,42,2000,0,0
NIP,13,40,23,33,43,3000,0,0
NIP,14,87,24,34,44,4000,1,1
NIP,15,59,25,35,45,5000,0,0
NIP,16,40,26,36,46,6000,0,0
NIP,17,57,27,37,47,7000,0,0
NIP,18,20,28,38,48,8000,0,0
